id;host_id;host_name;neighbourhood_cleansed;property_type;price;availability_365;number_of_reviews;review_scores_rating
34010909;9321406;Jaime;Artà;Entire villa;322;298;1;5
34275617;175116156;Juliane;Sant Llorenç des Cardassar;Entire rental unit;90;124;29;4,86
34293681;80839530;Homerti;Pollença;Entire rental unit;137;199;33;4,3
34298086;97963110;Can Calco;Felanitx;Room in heritage hotel;241;272;231;4,63
34299222;253221066;Gina;Andratx;Entire villa;420;247;4;5
34299867;242316949;MallorcaWeek;Alcúdia;Entire home;157;246;69;4,71
34302483;9321406;Jaime;Alcúdia;Entire home;312;202;12;4,58
34304692;205499549;Holidu;Artà;Entire villa;180;341;7;5
34307148;156144596;Mallorca Villa Selection;Alcúdia;Entire villa;196;112;22;4,82
34015728;69462088;Blue Villas Mallorca;Alcúdia;Entire rental unit;85;275;32;4,69
34033194;239536307;Conchi;Pollença;Entire condo;156;355;30;4,83
34307277;104655996;Cristina;Alcúdia;Entire rental unit;124;254;11;4,91
34329198;54371242;Nina;Sant Llorenç des Cardassar;Entire home;230;165;68;4,99
34329933;226456775;Natalia;Manacor;Room in boutique hotel;68;278;130;4,74
34330005;100507004;Mar;Sóller;Entire rental unit;100;21;40;4,5
34354505;259332258;My Rooms Artà;Artà;Room in boutique hotel;58;362;35;4,57
34354767;259332258;My Rooms Artà;Artà;Room in boutique hotel;117;337;3;4,67
34357156;80839530;Homerti;Marratxí;Entire villa;569;288;22;3,91
34362310;259332258;My Rooms Artà;Artà;Room in hotel;96;363;29;4,52
34363492;259428646;Lucas;Santa María del Camí;Entire cottage;350;364;1;5
34593786;205499549;Holidu;Manacor;Entire rental unit;211;364;2;4,5
34593827;205499549;Holidu;Manacor;Entire rental unit;211;364;0;4,691978021978023
34593846;205499549;Holidu;Manacor;Entire rental unit;152;365;6;4,83
34593867;205499549;Holidu;Manacor;Entire rental unit;211;364;0;4,691978021978023
34593888;205499549;Holidu;Manacor;Entire rental unit;152;364;2;4
34594027;205499549;Holidu;Manacor;Entire rental unit;211;364;2;4,5
34594051;205499549;Holidu;Manacor;Entire rental unit;152;365;2;5
34034223;250640518;Jose;Manacor;Entire home;85;311;187;4,72
34037640;220972844;Lorenzo;Santa Margalida;Entire rental unit;115;299;24;4,92
34594088;205499549;Holidu;Manacor;Entire rental unit;141;365;2;4,5
34594112;205499549;Holidu;Manacor;Entire rental unit;152;364;2;4,5
34595072;8130624;Catalina;Manacor;Entire rental unit;86;198;74;4,91
34597326;261020451;Rosa;Santa Margalida;Entire townhouse;52;320;69;4,59
34609067;70373276;Bartomeu;Campos;Entire villa;120;194;29;4,93
34612788;261132149;Cati M.;Pollença;Entire home;229;0;21;4,81
34620488;25253865;Phoebi;Santanyí;Entire home;86;260;72;4,56
34642830;114802681;Jacqueline;Andratx;Entire guest suite;231;0;61;4,93
34364442;89068267;Diego;Campos;Entire villa;242;0;69;4,9
34377402;259539594;Susana Maria;Santanyí;Entire rental unit;195;354;7;4,71
34378461;116354080;Cosme;Pollença;Entire rental unit;226;16;29;4
34378489;116354080;Cosme;Pollença;Entire rental unit;226;16;41;4,46
34378536;116354080;Cosme;Pollença;Entire rental unit;226;17;26;4,31
34380713;65697804;Ideal Property Mallorca;Alcúdia;Entire rental unit;101;234;7;4,14
